watershed_group_code,status,notes,spp_sar
ADMS,In,,CH
ALBN,In,,
ATLL,In,,
ATNA,In,,
BABL,In,,
BABR,In,,
BARR,In,,
BBAR,In,,CO
BEAV,Out,Mackenzie basin,
BELA,In,,
BIGC,In,SAR,CH;CO
BLAR,In,,CH;CO
BLUR,Out,Mackenzie basin,
BONP,In,,CH;ST
BOWR,In,,CH;CO;SK
BRID,Out,Falls 20807,
BRKS,In,,
BULK,In,,
BULL,In,SAR,WCT
CAMB,In,,
CANO,Out,Columbia basin,
CARP,Out,Mackenzie basin,
CARR,In,,CH;CO
CHES,In,,CH;CO
CHIL,In,,CH;CO
CHIR,In,,CH;CO;ST
CHUK,Out,No target species observations,
CHWK,In,,SK;BT;SSU
CLAY,In,,
CLRH,In,SAR,WCT
CLWR,In,,CH;SK
COAL,Out,Mackenzie basin,
COLR,In,SAR,WCT
COMX,In,,
COTR,In,,CH;CO
COWN,In,,
CRKD,Out,Mackenzie basin,
CRYL,Out,Mackenzie basin,
DEAD,In,,ST
DEAL,Out,Mackenzie basin,
DEAR,Out,Mackenzie basin,
DOGC,In,,CH;CO
DRIR,In,,CH;CO;SK
DUNC,In,SAR,WCT
DUNE,Out,Mackenzie basin,
ELKR,In,SAR,WCT
EUCH,In,,CH;CO
EUCL,In,,CH;CO
FINA,Out,Mackenzie basin,
FINL,Out,Mackenzie basin,
FIRE,Out,Mackenzie basin,
FONT,Out,Mackenzie basin,
FOXR,Out,Mackenzie basin,
FRAN,In,,CH;CO;SK
FRCN,In,,CH;SK;BT
FROG,Out,Mackenzie basin,
GATA,Out,Mackenzie basin,
GLAR,In,,
GOLD,In,,
GRAI,In,,
GRNL,Out,No target species observations,
GUIC,In,,ST
HARR,In,,CH;SK;BT;SSU
HAYR,Out,Mackenzie basin,
HERR,In,,CH;CO
HOLB,In,,
HOMA,In,,
HORS,In,,CH;CO;SK
INGR,Out,Mackenzie basin,
INKR,In,,
ISKR,Out,No target species observations,
JENR,In,,
JERV,In,,SK
KAHN,Out,Mackenzie basin,
KAKC,Out,Not accessible to target species,
KCHL,Out,Mackenzie basin,
KEEC,In,,
KETL,In,SAR,WCT
KHOR,In,SAR,WCT
KHTZ,In,,
KINR,In,,
KISK,Out,Mackenzie basin,
KISP,In,,
KITL,In,,
KITR,In,,
KLAR,Out,No target species observations,
KLIN,In,,
KLUM,In,,
KNIG,In,,
KOTL,In,SAR,WCT
KOTR,In,SAR,WCT
KSHR,In,,
KTSU,In,,
KUMR,In,,
KUSR,Out,No target species observations,
LARL,In,SAR,WCT
LBIR,In,,
