watershed_group_code,ch_n,ch90_n,ch_latest,co_n,co90_n,co_latest,sk_n,sk90_n,sk_latest,st_n,st90_n,st_latest,ch_range,co_range,sk_range,st_range,obs_gt5_ind,mackenzie_ind,barrier_ind
ADMS,13,8,2007-01-01,61,41,2014-09-27,50,33,2005-01-01,2,0,,{Core},{Core},{Core},{Core},t,,
ALBN,170,119,2018-04-29,617,410,2019-02-22,56,14,2011-07-23,668,273,2018-05-02,{Core},{Core},{Core},{Core},t,,
ATLL,1,0,1977-01-01,0,0,,0,0,,4,0,1983-01-01,{Core},,,,,,
ATNA,18,9,2010-10-08,30,14,2010-10-20,19,5,2001-01-01,73,27,2000-01-01,{Core},{Core},{Core},{Core},t,,
BABL,13,5,2015-09-11,162,111,2010-10-19,113,61,2014-08-24,9,0,1978-01-01,{Core},{Core},{Core},{Core},t,,Falls 17582
BABR,34,7,2001-08-20,71,30,2002-09-21,26,5,1998-06-01,50,15,2002-09-21,{Core},{Core},{Core},{Core},t,,
BARR,12,4,1999-03-01,10,4,1995-01-01,19,5,1999-03-01,0,0,,{Core},{Core},{Core},{Core},t,,
BBAR,5,2,1994-01-01,3,2,1994-01-01,0,0,,3,3,1994-01-01,{Core},{Core},{Core},{Core},t,,
BEAV,0,0,,0,0,,0,0,,0,0,,,,,,,t,
BELA,43,32,2013-09-20,131,116,2013-09-20,8,5,1999-02-01,160,71,2013-09-20,{Core},{Core},{Core},{Core},t,,
BIGC,0,0,,0,0,,0,0,,0,0,,{Core},{Core},{Core},{Core},,,
BLAR,55,43,9999-11-01,4,3,1995-01-01,5,1,1994-01-01,0,0,,{Core},{Core},{Core},{Core},t,,
BLUR,0,0,,0,0,,0,0,,0,0,,,,,,,t,
BONP,37,23,2000-02-01,13,12,2004-01-01,1,1,1998-01-01,85,20,1998-01-01,{Core},{Core},{Core},{Core},t,,
BOWR,106,34,2015-09-18,1,1,2004-01-01,10,7,2001-01-01,0,0,,{Core},{Core},{Core},{Core},t,,
BRID,0,0,,0,0,,0,0,,1,0,1974-09-14,{Core},{Core},{Core},{Core},,,
BRKS,46,24,1999-10-03,223,176,2016-07-23,31,21,1998-11-01,153,65,2000-01-01,{Core},{Core},{Core},{Core},t,,
BULK,141,115,2018-08-01,339,263,2018-08-02,15,10,2002-01-01,342,196,2017-08-20,{Core},{Core},{Core},{Core},t,,
BULL,0,0,,0,0,,0,0,,1,0,1972-09-30,,,,,,,Chief Joseph Dam
CAMB,126,116,2019-03-25,289,244,2018-09-13,14,12,2016-04-11,265,135,2017-01-25,{Core},{Core},{Core},{Core},t,,
CANO,0,0,,0,0,,0,0,,0,0,,,,,,,,Chief Joseph Dam
CARP,0,0,,0,0,,0,0,,0,0,,,,,,,t,Site C Dam
CARR,29,24,2010-10-29,4,2,1999-02-01,4,3,1999-02-01,0,0,,{Core},{Core},{Core},{Core},t,,
CHES,308,298,2017-10-21,1,1,1994-01-01,30,30,2010-06-15,0,0,,{Core},{Core},{Core},{Core},t,,
CHIL,3,2,2000-09-08,0,0,,0,0,,1,0,1971-07-13,{Core},{Core},{Core},{Core},,,
CHIR,27,1,1993-01-01,10,0,1983-05-01,27,21,2001-01-01,23,4,1998-03-01,{Core},{Core},{Core},{Core},t,,
CHUK,0,0,,0,0,,0,0,,0,0,,,,,,,,
CHWK,31,22,2016-08-19,371,316,2019-04-16,39,24,2006-05-30,333,173,2019-05-08,{Core},{Core},{Core},{Core},t,,
CLAY,74,42,2002-02-01,376,267,2018-11-18,94,52,2002-01-01,166,84,2002-02-01,{Core},{Core},{Core},{Core},t,,
CLRH,0,0,,0,0,,0,0,,0,0,,,,,,,,Chief Joseph Dam
CLWR,13,6,1996-09-01,9,5,1999-01-01,2,0,1978-01-01,0,0,,{Core},{Core},{Core},{Core},t,,
COAL,0,0,,0,0,,0,0,,0,0,,,,,,,t,
COLR,0,0,,0,0,,0,0,,0,0,,,,,,,,Chief Joseph Dam
COMX,698,691,9999-03-01,901,853,9999-03-01,79,76,2019-03-02,354,189,9999-03-01,{Core},{Core},{Core},{Core},t,,
COTR,125,114,2015-09-11,6,5,2014-09-16,2,1,1996-06-01,1,0,1972-05-19,{Core},{Core},{Core},{Core},t,,
COWN,56,28,9999-03-01,465,219,9999-03-01,0,0,,656,232,9999-03-01,{Core},{Core},{Core},{Core},t,,
CRKD,0,0,,0,0,,0,0,,0,0,,,,,,,t,Site C Dam
CRYL,0,0,,0,0,,0,0,,0,0,,,,,,,t,
DEAD,16,9,2007-08-10,12,9,2014-08-14,4,3,1998-01-01,9,6,1999-02-01,{Core},{Core},{Core},{Core},t,,
DEAL,0,0,,0,0,,0,0,,0,0,,,,,,,t,
DEAR,0,0,,0,0,,0,0,,0,0,,,,,,,t,
DOGC,5,4,1997-01-01,1,0,1983-01-01,3,3,1997-01-01,0,0,,{Core},{Core},{Core},{Core},t,,
DRIR,0,0,,0,0,,32,9,1995-01-01,0,0,,{Core},{Core},{Core},{Core},t,,
DUNC,0,0,,0,0,,0,0,,0,0,,,,,,,,Chief Joseph Dam
DUNE,0,0,,0,0,,0,0,,0,0,,,,,,,t,
ELKR,0,0,,0,0,,0,0,,1,0,1952-07-03,,,,,,,Chief Joseph Dam
EUCH,8,7,1998-02-01,0,0,,1,0,1977-08-12,0,0,,{Core},{Core},{Core},{Core},t,,
EUCL,3,0,1985-05-01,0,0,,0,0,,0,0,,{Core},{Core},{Core},{Core},,,
FINA,0,0,,0,0,,0,0,,0,0,,,,,,,t,Site C Dam
FINL,0,0,,0,0,,0,0,,0,0,,,,,,,t,Site C Dam
FIRE,0,0,,0,0,,0,0,,0,0,,,,,,,t,Site C Dam
FONT,0,0,,0,0,,0,0,,0,0,,,,,,,t,
FOXR,0,0,,0,0,,0,0,,0,0,,,,,,,t,Site C Dam
FRAN,24,19,2000-09-09,1,1,2018-07-26,21,9,2001-01-01,0,0,,{Core},{Core},{Core},{Core},t,,
FRCN,32,29,2018-06-15,93,60,2012-10-03,36,29,2010-08-13,336,126,2017-08-26,{Core},{Core},{Core},{Core},t,,
FROG,0,0,,0,0,,0,0,,0,0,,,,,,,t,
GATA,0,0,,0,0,,0,0,,0,0,,,,,,,t,
GLAR,11,7,9999-10-01,0,0,,0,0,,0,0,,{Core},,,,t,,
GOLD,54,29,2012-04-20,168,89,2013-09-10,40,18,2001-02-01,336,107,2014-08-13,{Core},{Core},{Core},{Core},t,,
GRAI,18,6,1999-02-01,449,221,2013-10-02,69,28,2006-04-24,274,80,2000-02-01,{Core},{Core},{Core},{Core},t,,
GRNL,0,0,,0,0,,0,0,,1,0,1980-01-01,{Core},{Core},{Core},{Core},,,
GUIC,8,8,2012-08-15,8,4,2004-01-01,0,0,,5,5,1998-02-01,{Core},{Core},{Core},{Core},t,,
HARR,369,342,2016-08-11,425,317,2018-12-13,94,66,2016-08-10,449,214,2019-05-15,{Core},{Core},{Core},{Core},t,,
HAYR,0,0,,0,0,,0,0,,0,0,,,,,,,t,
HERR,47,8,1999-09-05,0,0,,1,0,1986-01-01,1,0,1965-10-14,{Core},{Core},{Core},{Core},t,,
HOLB,9,3,1993-01-01,173,137,2017-04-13,3,0,1984-12-12,85,29,2003-10-28,{Core},{Core},{Core},{Core},t,,
HOMA,77,35,2001-03-01,135,67,2017-10-13,1,1,1996-04-01,14,3,2001-03-01,{Core},{Core},{Core},{Core},t,,
HORS,54,49,2017-10-19,86,83,2017-10-19,32,23,2002-01-01,4,2,2002-01-01,{Core},{Core},{Core},{Core},t,,
INGR,0,0,,0,0,,0,0,,0,0,,,,,,,t,Site C Dam
