watershed_group_code,total_length_km,accessible15_length_km,pct_accessible_15,accessible15_obs_length_km,pct_accessible_15_obs,diff_abs,diff_pct_total,diff_pct_accessible
ADMS,5476,654,11.9500,803,14.6700,149,2.7200,18.5200
ALBN,7530,1954,25.9500,1996,26.5000,42,0.5600,2.1000
ATLL,12087,4546,37.6100,4551,37.6600,5,0.0400,0.1100
ATNA,5636,1061,18.8300,939,16.6700,-122,-2.1600,-12.9700
BABL,11548,4462,38.6400,5527,47.8600,1064,9.2200,19.2600
BABR,8921,2397,26.8700,2407,26.9800,9,0.1100,0.3900
BARR,7141,830,11.6200,801,11.2200,-28,-0.4000,-3.5600
BBAR,7878,250,3.1700,269,3.4200,20,0.2500,7.3200
BELA,6069,400,6.5900,402,6.6300,2,0.0400,0.5700
BLAR,5469,3434,62.7800,3487,63.7600,54,0.9800,1.5400
BONP,7575,1644,21.7000,1654,21.8300,10,0.1300,0.5800
BOWR,6268,2676,42.6900,2701,43.0800,25,0.3900,0.9100
BRKS,5433,1193,21.9500,1283,23.6100,90,1.6500,7.0000
BULK,14642,5692,38.8700,5619,38.3800,-73,-0.5000,-1.3000
CAMB,3682,194,5.2700,846,22.9800,652,17.7100,77.0700
CARR,6206,547,8.8200,621,10.0000,74,1.1900,11.8800
CHES,3380,948,28.0500,2517,74.4600,1569,46.4100,62.3300
CHIL,2862,2215,77.3900,2302,80.4400,87,3.0400,3.7800
CHIR,6763,1943,28.7200,2106,31.1500,164,2.4200,7.7700
CHWK,2598,506,19.4700,647,24.9000,141,5.4300,21.8100
CLAY,7223,1250,17.3000,1310,18.1400,60,0.8400,4.6200
CLWR,7824,1009,12.8900,1009,12.9000,1,0.0100,0.0700
COMX,3435,1016,29.5700,1070,31.1500,54,1.5800,5.0700
COTR,8190,4497,54.9100,4641,56.6700,144,1.7600,3.1000
COWN,4942,1479,29.9300,1788,36.1800,309,6.2500,17.2600
DEAD,2987,503,16.8400,503,16.8300,-0,-0.0100,-0.0500
DOGC,4589,392,8.5400,393,8.5600,1,0.0200,0.2800
DRIR,3956,1987,50.2200,2123,53.6700,136,3.4500,6.4300
EUCH,2298,1830,79.6400,1922,83.6400,92,4.0000,4.7800
EUCL,4257,3164,74.3200,3163,74.3000,-1,-0.0200,-0.0300
FRAN,11837,7629,64.4500,7577,64.0100,-53,-0.4400,-0.6900
FRCN,10481,771,7.3500,849,8.1000,79,0.7500,9.2600
GLAR,5224,2707,51.8200,2707,51.8300,0,0.0100,0.0200
GOLD,6109,902,14.7600,933,15.2700,31,0.5100,3.3200
GRAI,13607,6365,46.7700,6809,50.0400,445,3.2700,6.5300
GUIC,2562,1118,43.6300,1051,41.0100,-67,-2.6200,-6.3900
HARR,6169,1147,18.5900,1205,19.5400,58,0.9500,4.8400
HERR,5433,509,9.3700,991,18.2300,481,8.8600,48.5900
HOLB,2901,1264,43.5700,1261,43.4800,-2,-0.0800,-0.1900
HOMA,14608,1479,10.1300,1448,9.9200,-31,-0.2100,-2.1200
HORS,4475,1976,44.1400,2006,44.8300,31,0.6900,1.5300
INKR,12904,1310,10.1500,1320,10.2300,11,0.0800,0.8200
JENR,4566,2285,50.0500,2282,49.9900,-3,-0.0600,-0.1200
JERV,8694,612,7.0400,961,11.0600,349,4.0200,36.3200
KEEC,2539,1455,57.3200,1425,56.1400,-30,-1.1800,-2.1000
KHTZ,8206,420,5.1200,485,5.9100,65,0.7900,13.4400
KINR,5196,961,18.5000,1307,25.1500,345,6.6500,26.4400
KISP,11083,2820,25.4400,2868,25.8800,49,0.4400,1.6900
KITL,10976,1137,10.3600,1148,10.4600,11,0.1000,0.9500
KITR,10307,1378,13.3700,1392,13.5000,13,0.1300,0.9500
KLIN,13597,2120,15.5900,2120,15.5900,-0,0.0000,-0.0100
KLUM,10437,1559,14.9400,1616,15.4800,57,0.5400,3.5100
KNIG,13626,1314,9.6400,1444,10.6000,131,0.9600,9.0400
KSHR,8871,523,5.9000,526,5.9300,3,0.0300,0.5900
KTSU,2632,1827,69.4100,1921,72.9900,94,3.5800,4.9100
KUMR,7913,2303,29.1100,2365,29.8800,61,0.7800,2.6000
LBIR,8190,1104,13.4800,1086,13.2600,-18,-0.2200,-1.6900
LCHL,5775,4703,81.4400,4714,81.6200,10,0.1800,0.2100
LCHR,6555,1043,15.9100,2175,33.1800,1132,17.2700,52.0600
LDEN,8108,991,12.2200,989,12.2000,-1,-0.0200,-0.1300
LFRA,8507,2413,28.3600,3030,35.6200,617,7.2600,20.3700
LILL,12181,789,6.4700,1022,8.3900,233,1.9200,22.8300
LISR,6294,712,11.3100,705,11.2100,-6,-0.1000,-0.9000
LKEL,1115,329,29.4600,332,29.8100,4,0.3500,1.1700
LNAR,12565,1909,15.1900,2036,16.2000,127,1.0100,6.2500
LNIC,7300,1633,22.3700,2038,27.9200,405,5.5500,19.8700
LNTH,9263,1328,14.3300,1329,14.3500,1,0.0100,0.1000
LRDO,5530,871,15.7500,1008,18.2300,138,2.4900,13.6500
LSAL,3175,1588,50.0300,2993,94.2800,1405,44.2500,46.9400
LSKE,12273,2011,16.3900,2136,17.4100,125,1.0200,5.8500
LSTR,7554,1101,14.5700,1103,14.6000,2,0.0300,0.2100
LTRE,3079,2707,87.9400,2668,86.6500,-40,-1.2900,-1.4900
MAHD,6394,122,1.9100,122,1.9100,0,0.0000,0.2100
MBNK,1307,880,67.3200,907,69.4300,28,2.1200,3.0500
MCGR,7421,2772,37.3500,2763,37.2300,-8,-0.1100,-0.3000
MESC,5747,648,11.2800,648,11.2800,0,0.0100,0.0500
MFRA,2540,226,8.8900,281,11.0800,56,2.1900,19.7500
MIDR,3518,2294,65.2100,2320,65.9600,26,0.7500,1.1400
MORI,8286,1818,21.9500,1877,22.6600,59,0.7100,3.1300
MORK,17888,5242,29.3100,5295,29.6000,53,0.2900,1.0000
MORR,9033,3551,39.3200,3443,38.1200,-108,-1.2000,-3.1400
MSKE,10990,1515,13.7800,1491,13.5700,-23,-0.2100,-1.5700
MSTR,14103,3625,25.7000,3634,25.7700,10,0.0700,0.2600
NAHR,7958,4335,54.4700,4236,53.2300,-99,-1.2500,-2.3400
NAKR,9702,2057,21.2000,2050,21.1300,-7,-0.0700,-0.3400
NARC,5764,1311,22.7500,3831,66.4500,2519,43.7000,65.7600
NASC,10303,956,9.2800,1224,11.8800,268,2.6000,21.8700
NASR,6662,1588,23.8400,1633,24.5100,45,0.6800,2.7500
NAZR,6093,2681,44.0000,3703,60.7700,1022,16.7700,27.5900
NBNK,568,372,65.4900,385,67.8100,13,2.3100,3.4100
NECL,7403,1405,18.9800,1399,18.8900,-6,-0.0800,-0.4400
NECR,8050,6348,78.8600,6330,78.6400,-18,-0.2200,-0.2800
NEVI,2815,1308,46.4700,1351,48.0000,43,1.5400,3.2000
NICL,4398,1618,36.7800,1781,40.4900,163,3.7200,9.1800
NIEL,8990,1324,14.7200,1381,15.3600,57,0.6400,4.1400
NIMP,5069,1456,28.7300,1469,28.9800,13,0.2600,0.8900
OKAN,11481,1935,16.8500,2113,18.4000,178,1.5500,8.4100
OWIK,18810,1590,8.4500,1765,9.3800,174,0.9300,9.8900
PARK,2204,577,26.1800,685,31.0900,108,4.9100,15.7800
PORI,1573,815,51.8300,819,52.0800,4,0.2600,0.4900
QUES,12483,5561,44.5500,5704,45.6900,142,1.1400,2.4900
SAJR,2346,1486,63.3600,1471,62.6900,-16,-0.6700,-1.0700
SALM,3658,1009,27.5900,1051,28.7400,42,1.1500,4.0100
SALR,3384,,,3080,91.0000,,,
SANJ,7276,1521,20.9000,1665,22.8800,144,1.9800,8.6700
SETN,26020,745,2.8600,1546,5.9400,801,3.0800,51.8200
SEYM,8299,1225,14.7600,1382,16.6600,157,1.9000,11.3800
SHER,9718,1210,12.4500,1203,12.3800,-7,-0.0700,-0.5900
SHUL,7257,1184,16.3100,1279,17.6300,95,1.3100,7.4600
SQAM,10470,743,7.1000,880,8.4100,137,1.3100,15.5500
STHM,6618,1077,16.2800,990,14.9600,-87,-1.3100,-8.7600
STIR,6351,493,7.7600,514,8.0900,21,0.3200,4.0100
STUL,5675,4295,75.6900,4294,75.6700,-1,-0.0200,-0.0300
STUR,3705,3045,82.2000,3098,83.6300,53,1.4400,1.7200
SUST,8005,2443,30.5100,2444,30.5400,2,0.0200,0.0800
SWIR,5908,2841,48.0800,2981,50.4400,140,2.3600,4.6800
TABR,3731,2584,69.2600,2582,69.2100,-2,-0.0500,-0.0700
TAHR,3776,815,21.5700,752,19.9100,-63,-1.6600,-8.3500
TAHS,3305,564,17.0700,560,16.9500,-4,-0.1200,-0.7000
TAKL,7365,4698,63.7900,4685,63.6200,-13,-0.1800,-0.2800
TASR,5494,1108,20.1600,1106,20.1300,-1,-0.0200,-0.1200
TATR,15038,2284,15.1900,2330,15.4900,46,0.3100,1.9800
TAYR,4033,535,13.2700,534,13.2300,-1,-0.0400,-0.2800
TESR,7375,4176,56.6300,4183,56.7200,7,0.0900,0.1600
THOM,7816,503,6.4300,519,6.6300,16,0.2000,3.0700
TOBA,14713,706,4.8000,742,5.0400,36,0.2400,4.8500
TSAY,8587,518,6.0400,538,6.2700,20,0.2300,3.6800
TSIT,4231,318,7.5200,594,14.0400,276,6.5100,46.4000
TUTR,11828,2226,18.8200,2359,19.9400,133,1.1200,5.6300
TWAC,3033,669,22.0600,793,26.1600,124,4.1000,15.6800
UBIR,5250,614,11.6900,614,11.7000,0,0.0100,0.0600
UCHR,5789,2497,43.1300,4289,74.0900,1792,30.9600,41.7900
UFRA,14134,1272,9.0000,1365,9.6500,93,0.6600,6.8000
UJER,4006,2773,69.2300,2768,69.0900,-5,-0.1400,-0.2000
UNAR,10315,1452,14.0700,1454,14.0900,2,0.0200,0.1300
UNTH,9754,1035,10.6100,1088,11.1600,53,0.5400,4.8700
UNUR,4526,316,6.9800,397,8.7800,81,1.8000,20.5000
USHU,7679,1200,15.6300,1317,17.1500,117,1.5200,8.8800
USKE,9221,1857,20.1300,1990,21.5800,134,1.4500,6.7200
USTK,7691,2852,37.0800,2850,37.0600,-2,-0.0200,-0.0700
UTRE,2703,1509,55.8200,1505,55.6900,-4,-0.1300,-0.2400
VICT,827,365,44.1300,391,47.2400,26,3.1100,6.5800
WILL,5275,3579,67.8400,3603,68.3000,24,0.4500,0.6700
WORC,7703,1396,18.1300,1391,18.0600,-5,-0.0700,-0.3900
ZYMO,7386,1310,17.7400,1319,17.8600,9,0.1200,0.6700
