watershed_group_code,dci_15,dci_20,dci_30
ADMS,0.6944152987614145,0.47416528510917505,0.23446806116749916
ALBN,0.37459233026624134,0.33527732797851817,0.25644612562502234
ATLL,0.5099551974235976,0.4452651780668901,0.43031967827160694
ATNA,0.7557358775615585,0.7116299414024209,0.6595022464724996
BABL,0.13040316984670355,0.09493838422228221,0.0936113711024839
BABR,0.6837053349553189,0.6438678025922486,0.621793155528853
BARR,1,1,1
BBAR,0.5025652135621286,0.2248529783209995,0.08086931911548811
BELA,0.2948900850108134,0.2618686692133755,0.1803588961452653
BIGC,1,1,0.08926618646887446
BLAR,0.1925945216277201,0.1619576413039221,0.15736872198739235
BONP,0.07596885482873253,0.029179327448647676,0.016824795349836576
BOWR,0.13410216481371018,0.11083080889560416,0.10036292696044583
BRKS,0.26178630003128095,0.23057041567876987,0.19362609489441823
BULK,0.1412853210581462,0.11980053430363997,0.10547297144862906
CAMB,0.18609164012481494,0.08726940075924611,0.06855745629101868
CARR,0.6109340600311002,0.4878521259606651,0.41607061207387347
CHES,0.23830651693323776,0.10719091719419219,0.10360394028106036
CHIL,0.02588248137741902,0.023821599648196322,0.0218643703475647
CHIR,0.5446179469665432,0.4446072609288161,0.45386782444629287
CHWK,0.11606480978479998,0.11020352879661341,0.0871714174509518
CLAY,0.5756819134527115,0.564738259126327,0.5117151152348269
CLWR,0.8566328828091662,0.839933166640804,0.7476792328649612
COLR,1,1,1
COMX,0.21080237601636653,0.19230998496362797,0.1811272698306364
COTR,0.10110936643025216,0.08244573235746631,0.07392554626760679
COWN,0.31394836178137336,0.24459063557819805,0.13282667997956954
DEAD,0.06546369519261853,0.036511063296700216,0.028124174735309995
DOGC,0.5176387053672362,0.09888865038500932,0.08102412722930363
DRIR,0.22516078111029372,0.20640453568198666,0.1987708170130947
EUCH,0.05019305890965657,0.04911786086974994,0.04999858230340468
EUCL,0.3728867407655411,0.3811788182903718,0.3791368032802761
FRAN,0.061966394647601744,0.054059185165350805,0.049540972622668225
FRCN,0.32291026267178197,0.2839862213023,0.14061196229887352
GLAR,0.8823070841357236,0.86141468183618,0.8492916041630459
GOLD,0.2635785442993239,0.21118833299298762,0.14348311722467244
GRAI,0.47138054694387327,0.45256303250329855,0.43218762737768535
GUIC,0.014988507588263818,0.0098950312101848,0.006929615297026261
HARR,0.5407062781637539,0.47720401450720823,0.34810472164159495
HERR,0.6127250660532594,0.4988888979793554,0.4589011113766225
HOLB,0.12617080000709538,0.10769597774152165,0.09819587570966873
HOMA,0.33880304650240367,0.3355738629832124,0.3161390651913314
HORS,0.25669884355610356,0.20360324762528081,0.16580096626605764
INKR,0.9960162847171724,0.9967513676380118,0.997221553645884
JENR,1,1,1
JERV,0.12762687642316048,0.10471169499552155,0.09101789531077033
KEEC,0.9948519145526294,0.9918567702599478,0.9931446787633855
KETL,0.14692920685709956,0.07140681972328353,0.029836290703832324
KHTZ,0.9134077291842103,0.8379657213041631,0.7555682530090229
KINR,0.7385337413885924,0.6510524894691045,0.5939396955606655
KISP,0.3432373631152453,0.3084016398176851,0.25767639451792845
KITL,0.9730674571356893,0.9659135829361756,0.9259406024892534
KITR,0.5647829231374165,0.5915319497884258,0.5574213839908515
KLIN,0.17873277040867058,0.1866031687118982,0.2180445660571767
KLUM,0.2819439965870404,0.2583484641445254,0.23600208203001966
KNIG,0.4159941017726454,0.3803695483128906,0.3322583724537889
KOTL,0.6932466017811452,0.6950113988189053,0.6982268545214695
KSHR,0.8826809893191578,0.8873327132509055,0.7316454528639911
KTSU,1,1,0.994433870480744
KUMR,0.9902101217521962,0.9678357248059264,0.9588566891323522
LARL,0.2200970913691399,0.1213287582684971,0.04334886471713802
LBIR,0.6932450130134805,0.6104546315514812,0.5541125339800004
LCHL,0.024587156039270825,0.023533525989119043,0.023688866948858887
LCHR,0.09765627473385083,0.09445794656064176,0.04000866463233401
LDEN,0.7566153387630355,0.8791270610774712,0.9001540822275039
LFRA,0.1272385553940109,0.11955823726540171,0.1164094935274937
LILL,0.13551859633243965,0.13305012559917903,0.09156052950718567
LISR,1,1,1
LKEL,0.460180828342992,0.4469424382155069,0.4004628014221842
LNAR,0.7055445778323176,0.6273216892214829,0.5346319838763137
LNIC,0.15024157508801503,0.07310572600719334,0.04789094521085299
LNRS,0.19232542220757107,0.18787283761651496,0.14669710343600612
LNTH,0.18387913814938417,0.07402580731308622,0.02788840480207569
LRDO,0.9681592829333604,0.969288155363233,0.9512148304219491
LSAL,0.0380322272873553,0.037307655355811764,0.03730343111519291
LSKE,0.7056952197760819,0.6987230294995208,0.6355331735853539
LSTR,1,0.9980950173431254,0.9834154384296422
LTRE,0.1371494421620954,0.1256424789953836,0.11875052295833675
MAHD,0.8683914441399204,0.77685585838419,0.05831671427398838
MBNK,0.9575894561328905,0.9589600977741477,0.9598684326936316
MCGR,0.31085150337445394,0.2721708576645425,0.23612794521091166
MESC,0.963705074692225,0.961375892195052,0.959158855852947
MFRA,0.21835367813019874,0.1386717767733644,0.05670830008979621
MIDR,0.22732073679784273,0.21258525478555085,0.19996698314254785
MORI,0.4083032883970194,0.4265314244237572,0.43833681602232494
MORK,0.17961607654281947,0.17592331467624767,0.14096052408747953
MORR,0.5242985067267092,0.47814641204499886,0.4660276110364443
MSKE,0.9205759159128002,0.8859122720009289,0.8645165003831367
MSTR,0.5817254158889218,0.5567034044135333,0.5711404204766022
MURT,1,1,1
MUSK,0.09977193482642384,0.09898696782634651,0.09917649081143927
NAHR,1,1,1
NAKR,0.9978927065726118,0.9844040198212166,0.9839370126498684
NARC,0.04344827767484637,0.03395529020184325,0.021886405535141422
NASC,0.6308976087472064,0.6966498343690976,0.6088505902489659
NASR,0.3362320161087135,0.27797108520451286,0.26470011494396434
NAZR,0.045446196290515106,0.049589701031815675,0.04809493705836973
NBNK,1,1,1
NECL,0.9473216454029483,0.9236052867640361,0.8534614880334841
NECR,0.03705895534265151,0.04119014203989035,0.04101217274627251
NEVI,0.24988221946443326,0.2204236338976003,0.20412875389202734
NICL,0.021890822490617218,0.015326726086450266,0.008859637408937387
NIEL,0.8113435132701952,0.7862276245060673,0.6659336246640654
NIMP,0.22434600171007904,0.19185494453489935,0.14810522076918006
