watershed_group_code,dci_15,dci_20,dci_30
ADMS,0.6801773860395616,0.43656949455998134,0.23028337017861072
ALBN,0.4569637933813453,0.4057150078984401,0.3157083102326111
ATLL,0.5099551974235972,0.4452651780668914,0.43031967827160417
ATNA,0.7557358775615587,0.711629941402421,0.6595022464724991
BABL,0.13026803950979818,0.09486141798509211,0.09323644754628596
BABR,0.6850453437424087,0.6447605072677604,0.626620198881824
BARR,1,1,1
BBAR,0.48936432435562227,0.21734647607317692,0.08086931911548303
BELA,0.7892398707806095,0.7714374495347234,0.5557283532961805
BIGC,1,1,0.08926586778045097
BLAR,0.19271789242237142,0.16204313273806176,0.1574443654630938
BONP,0.06748161636395428,0.029179335904098335,0.016824799243921076
BOWR,0.23784198577611146,0.19607396689885612,0.170518900582257
BRKS,0.2597648203060239,0.22886589464838958,0.19230015740171413
BULK,0.165686290230747,0.14343304235070511,0.13045146968423185
BULL,0.06616422246938079,0.04787769036092286,0.03204092085628995
CAMB,0.1860916401248156,0.08726940075924637,0.06855745629101911
CARR,0.606902500480399,0.482859232335316,0.41279310251050216
CHES,0.06353988090177837,0.10719109357166416,0.10360409555698755
CHIL,0.025884872246770316,0.02382365316195418,0.021866866541026504
CHIR,0.5446179469665426,0.4446072609288168,0.4538678244462936
CHWK,0.17535862096577745,0.1721958131572741,0.14947834403840388
CLAY,0.5827692172063169,0.5712296762895526,0.5162161186542553
CLRH,0.7091188588435646,0.6219339494909022,0.4804152095402088
CLWR,0.8566328828091662,0.8399331666408048,0.7476792328649611
COLR,0.20111188934158533,0.1596846437449633,0.10856094869455457
COMX,0.14601602019554874,0.13488305369100437,0.116507538380733
COTR,0.09491541228743851,0.08242773195489415,0.07392656376073363
COWN,0.3139483617813736,0.2445906355781979,0.1328266799795688
DEAD,0.10366810369283783,0.05381827510330481,0.037691523357641775
DOGC,0.5176387053672101,0.09888865038500504,0.08102412722929914
DRIR,0.1885940224483966,0.17539651890304378,0.16820825576044243
DUNC,0.3401174350099733,0.2951899077184509,0.23808545456931507
ELKR,0.10962380136451509,0.08693761903352355,0.06366356121787503
EUCH,0.050205878928608866,0.04912809257035601,0.05000708441608125
EUCL,0.3728954825730227,0.38118625155788155,0.3791438077454217
FRAN,0.061981446515693324,0.054071210357003144,0.049550843507224815
FRCN,0.46437741637037344,0.4371303092836382,0.25536470010276313
GLAR,0.8823070841357238,0.8614146818361792,0.8492916041630459
GOLD,0.5288804087414098,0.4107805391002859,0.2886366357873648
GRAI,0.5353032378162373,0.5121243017462058,0.4890235111043505
GUIC,0.014956785232533819,0.009875591227586689,0.0069191316401821384
HARR,0.7367374854842765,0.6654855066589652,0.526945921971754
HERR,0.31172286678436234,0.5950027089862341,0.5379589583812908
HOLB,0.13866799296912263,0.118301698541958,0.10797399965353695
HOMA,0.5883259567513752,0.5651100632625365,0.5174881840411301
HORS,0.2678141224727435,0.21697630535297713,0.18273983083175205
INKR,0.9960162847171721,0.996751367638012,0.9972215536458842
JENR,1,1,1
JERV,0.12843186243050922,0.10811804517705116,0.09285537297706177
KEEC,0.9948519145526296,0.9918567702599476,0.9931446787633854
KETL,0.1366963144659187,0.06697208474145054,0.03116992331469217
KHOR,0.2789782843118161,0.22202144472364932,0.16672426380591615
KHTZ,0.9134077291842114,0.8379657213041647,0.7555682530090235
KINR,0.738539148218373,0.6510568264286707,0.5939421842812423
KISP,0.34327082139947107,0.30842626263127065,0.25769162479946756
KITL,0.9730674571356893,0.9659135829361758,0.9259406024892536
KITR,0.5648657131158321,0.5915984374823186,0.5574663824314329
KLIN,0.17873277040867064,0.1866031687118983,0.2180445660571772
KLUM,0.5639601159716454,0.5173855412253738,0.47161765426595326
KNIG,0.4159941017726439,0.3803695483128899,0.3322583724537874
KOTL,0.16613165832995036,0.14901624853868725,0.11579204429223204
KOTR,0.3009109140590091,0.24547701654727958,0.18586778041344357
KSHR,0.8826809893191562,0.8873327132509057,0.731645452863991
KTSU,1,1,0.9944338704807436
KUMR,0.9902101217521965,0.9678357248059264,0.9588566891323522
LARL,0.15718661458502897,0.09907147394422361,0.055383639664423646
LBIR,0.693245013013481,0.6104546315514812,0.5541125339800019
LCHL,0.024587156039270815,0.023533525989119054,0.02368886694885882
LCHR,0.09765896683936721,0.09446019261562381,0.040009362534036017
LDEN,0.7566153387630347,0.8791270610774705,0.9001540822275037
LFRA,0.10254811873465902,0.09603087849833196,0.09411733826993958
LILL,0.44764855927696273,0.42853275546679337,0.3608727574203507
LISR,1,1,1
LKEL,0.48554585347842133,0.46857653172340863,0.41771413155405873
LNAR,0.705544577832317,0.6273216892214823,0.534631983876314
LNIC,0.14478653416703602,0.07244315482474996,0.047377599227004956
LNRS,0.19232542220757093,0.18787283761651463,0.14669710343600578
LNTH,0.24807369253764863,0.09856446760732449,0.037339747331791094
LRDO,0.9681592829333604,0.9692881553632324,0.9512148304219484
LSAL,0.06301919590914773,0.06293933005299622,0.06436233329983408
LSKE,0.7765332663933937,0.7614463157937893,0.7044356184565734
LSTR,1,0.9980950173431254,0.9834154384296425
LTRE,0.13370631101441718,0.12254257552809138,0.11587339897261355
MAHD,0.8683914441399192,0.7768558583841865,0.05831835984091847
MBNK,0.9575894561328903,0.9589600977741476,0.959868432693632
MCGR,0.33955000689519405,0.30327309170962424,0.2992016809737351
