watershed_group_code,area_tlca_ha,area_total_ha,pct_tlca
ADMS,95426.90,333457.92,28.62
ALBN,62166.28,385338.50,16.13
ATLL,3742.94,531370.86,0.70
ATNA,46244.92,257689.15,17.95
BABL,187890.99,655461.43,28.67
BABR,42467.91,389518.77,10.90
BARR,12783.56,547050.23,2.34
BBAR,91890.81,363593.69,25.27
BEAV,25180.31,613326.65,4.11
BELA,12751.40,277473.74,4.60
BIGC,84247.32,241980.73,34.82
BLAR,278252.83,407264.18,68.32
BLUR,13103.00,169498.12,7.73
BONP,227739.09,398752.60,57.11
BOWR,117451.61,362142.80,32.43
BRID,49831.42,154132.99,32.33
BRKS,40931.66,201893.99,20.27
BULK,158701.86,776200.77,20.45
BULL,107764.49,383077.31,28.13
CAMB,14177.84,175922.58,8.06
CANO,40699.87,316904.52,12.84
CARP,46165.31,179969.23,25.65
CARR,51118.80,326411.80,15.66
CHES,118452.36,214035.13,55.34
CHIL,73804.99,156640.62,47.12
CHIR,69651.24,356033.15,19.56
CHUK,0.00,126381.26,0.00
CHWK,38513.48,120682.76,31.91
CLAY,34279.65,327903.52,10.45
CLRH,70813.07,787109.88,9.00
CLWR,22905.81,311145.76,7.36
COAL,34504.10,494131.36,6.98
COLR,59841.72,445347.31,13.44
COMX,25360.21,236037.21,10.74
COTR,197589.93,467157.27,42.30
COWN,31789.15,282894.19,11.24
CRKD,93333.86,218529.86,42.71
CRYL,346.61,207236.51,0.17
DEAD,67275.41,150567.18,44.68
DEAL,5698.37,409158.40,1.39
DEAR,54270.90,267115.35,20.32
DOGC,106577.61,301206.59,35.38
DRIR,9428.84,177013.78,5.33
DUNC,51251.39,476340.52,10.76
DUNE,50519.90,571207.36,8.84
ELKR,108691.30,588902.55,18.46
EUCH,83176.85,145894.26,57.01
EUCL,81773.12,275558.54,29.68
FINA,127490.84,738205.57,17.27
FINL,47319.36,548542.31,8.63
FIRE,5793.26,438575.76,1.32
FONT,25343.26,384662.24,6.59
FOXR,13457.85,429197.54,3.14
FRAN,329276.40,657465.46,50.08
FRCN,100831.06,514897.12,19.58
FROG,8887.21,488214.75,1.82
GATA,10027.61,369397.61,2.71
GLAR,1678.07,250883.17,0.67
GOLD,67009.39,278628.54,24.05
GRAI,90432.23,659179.68,13.72
GRNL,72719.22,137022.02,53.07
GUIC,49056.92,122383.33,40.08
HARR,71966.18,300071.08,23.98
HAYR,2363.62,152957.34,1.55
HERR,8275.41,205597.91,4.03
HOLB,30776.30,121237.31,25.39
HOMA,26008.25,795411.92,3.27
HORS,84785.04,276603.95,30.65
INGR,72839.80,532916.74,13.67
INKR,32303.13,491037.54,6.58
ISKR,4948.15,318208.31,1.56
JENR,50.71,207465.77,0.02
JERV,92846.40,482735.72,19.23
KAHN,16377.85,285215.15,5.74
KAKC,15426.24,184078.93,8.38
KCHL,47849.65,437006.87,10.95
KEEC,153.11,92627.54,0.17
KETL,264188.80,816781.53,32.35
KHOR,62923.27,565638.23,11.12
KHTZ,7687.30,347589.36,2.21
KINR,8634.28,210116.45,4.11
KISK,66611.82,405169.24,16.44
KISP,88726.99,521276.32,17.02
KITL,5465.33,429937.41,1.27
KITR,30089.06,396713.67,7.58
KLAR,5947.83,361031.51,1.65
KLIN,77138.80,662072.21,11.65
KLUM,45034.99,495359.19,9.09
KNIG,65828.73,598097.27,11.01
KOTL,211718.16,936950.22,22.60
KOTR,138805.20,539313.26,25.74
KSHR,3643.44,384292.54,0.95
KTSU,188.50,94094.89,0.20
KUMR,6242.54,304483.48,2.05
KUSR,678.99,359335.83,0.19
LARL,154442.01,661225.74,23.36
LBIR,16357.81,353984.35,4.62
LBTN,308630.44,724407.55,42.60
LCHL,147565.53,313884.87,47.01
LCHR,306024.25,617217.02,49.58
LDEN,174123.89,426615.47,40.82
LEUT,56003.80,194556.05,28.79
LFRA,160588.58,466343.51,34.44
LFRT,38394.38,490302.51,7.83
LHAF,95779.22,556803.67,17.20
LIAR,23303.09,764094.01,3.05
LILL,59127.43,608010.28,9.72
LISR,309.17,253124.62,0.12
LKEC,176015.85,407624.18,43.18
LKEL,12792.19,58284.94,21.95
LMUS,36515.64,334036.77,10.93
LNAR,64800.32,621628.83,10.42
LNIC,112042.76,367064.35,30.52
LNRS,107043.93,272695.76,39.25
LNTH,217487.85,490928.68,44.30
LOMI,54112.55,401353.24,13.48
LPCE,125522.11,331937.98,37.81
LPET,9406.12,413261.40,2.28
LPRO,11073.46,157355.60,7.04
LRAN,1064.65,272993.98,0.39
LRDO,4090.46,229655.79,1.78
LSAL,92304.72,183226.31,50.38
LSIK,31661.50,464525.45,6.82
LSKE,34928.51,544179.42,6.42
LSTR,252.66,402051.92,0.06
LTRE,71471.68,169723.13,42.11
MAHD,108638.21,324685.67,33.46
MBNK,207.78,45370.11,0.46
MCGR,58058.79,346653.83,16.75
MDEA,3592.28,411333.49,0.87
MESC,15517.02,233030.04,6.66
MESI,75584.40,329778.83,22.92
MFRA,97137.20,234108.03,41.49
MFRT,27139.89,305477.76,8.88
MIDR,48887.00,180729.87,27.05
MILL,24348.60,257241.14,9.47
MMUS,2654.91,424645.36,0.63
MORI,39529.44,345802.59,11.43
MORK,157779.12,821116.63,19.22
MORR,86116.81,437908.51,19.67
MPRO,19073.05,276323.42,6.90
MSKE,7618.38,484223.20,1.57
MSTR,33758.54,674394.67,5.01
MURR,87176.70,651015.67,13.39
