watershed_group_code,length_km_total,length_km_accessible15,length_km_accessible15_structureless,length_km_accessible20,length_km_accessible20_structureless,stream_km_accessible15,stream_km_accessible15_structureless,stream_km_accessible20,stream_km_accessible20_structureless,lake_reservoir_area_ha_total,lake_reservoir_area_ha_accessible15,lake_reservoir_area_ha_accessible15_structureless,lake_reservoir_area_ha_accessible20,lake_reservoir_area_ha_accessible20_structureless,wetland_area_ha_total,wetland_area_ha_accessible15,wetland_area_ha_accessible15_structureless,wetland_area_ha_accessible20,wetland_area_ha_accessible20_structureless,n_pscis_all,n_pscis_gt2010,n_pscis_gt2010_accessible_15,n_pscis_gt2010_accessible_20,n_modelled_culverts_total,n_modelled_culverts_accessible15,n_modelled_culverts_accessible20
ADMS,5475.8,654.3,539.4,952.6,647.5,387.9,281.7,630.9,362.7,15888.2,14009.9,13978.7,14300.6,14113.4,2925.5,951.9,898.7,1182.5,959.2,42,9,8,10,3234,188,422
ALBN,7529.8,1818.4,1234.8,2251.1,1433.2,1426.9,899.3,1822.6,1071.7,17253.5,13627.3,13063.0,14391.9,13717.1,1188.0,576.9,352.8,607.5,372.0,248,116,128,160,6138,943,1329
ATLL,12087.3,4546.1,9.4,5901.0,9.6,2203.0,141.2,3298.0,141.2,68348.6,62992.0,11.4,67333.7,11.9,8288.8,5720.0,23.5,6944.9,23.5,,,,,828,389,595
ATNA,5636.2,1061.5,842.7,1283.3,1005.2,666.6,482.7,865.7,632.3,13750.3,9351.9,9167.6,9403.8,9188.3,3475.5,764.6,552.9,874.7,609.2,,,,,579,105,134
BABL,11547.8,6035.0,2125.1,8618.9,2582.0,4230.0,1057.8,6320.5,1469.5,62840.9,54597.6,49814.6,59536.5,49966.4,18675.1,10306.9,3032.6,14838.7,3596.6,48,3,33,37,4379,2217,3363
BABR,8921.1,2397.3,1983.8,3531.7,2835.4,1966.9,1630.6,2936.0,2347.9,2700.1,871.8,815.3,1543.4,1408.4,10789.8,5690.2,4606.0,6993.4,5563.7,41,1,23,36,1020,378,542
BARR,7140.5,829.7,829.7,948.8,948.8,764.8,764.8,871.5,871.5,2920.0,2453.0,2453.0,2466.2,2466.2,1833.3,1208.1,1208.1,1239.8,1239.8,,,,,,,
BBAR,7877.8,252.3,178.0,485.9,228.4,263.0,196.5,470.9,241.4,2820.6,79.0,0.0,175.2,0.6,2635.4,17.6,,162.8,,,,,,4677,89,308
BELA,6068.6,399.8,355.1,466.1,409.3,441.3,397.0,502.1,445.7,1755.1,9.4,8.4,20.5,19.5,365.4,1.8,,11.5,9.7,20,0,8,14,706,133,192
BLAR,5469.1,3433.6,1490.1,4450.4,1774.2,2612.3,1063.0,3455.1,1252.8,3965.6,2233.5,1309.5,3111.2,2075.1,15818.5,8988.4,4631.9,11673.5,6550.0,10,0,9,10,2499,1158,1846
BONP,7575.4,1644.1,442.0,3055.0,500.1,1238.3,281.8,2407.2,332.3,10807.0,6590.7,3877.2,8693.6,3909.5,5652.8,1711.3,625.8,2854.6,647.5,2,0,2,2,5809,1165,2465
BOWR,6268.3,2676.0,1312.8,3435.6,1516.9,2185.5,1034.1,2881.7,1221.7,5058.2,4324.8,3794.3,4528.1,3952.4,8744.1,6803.0,4049.3,7418.2,4114.8,136,115,93,126,3205,1236,1852
BRKS,5433.0,1192.5,601.7,1510.9,716.6,992.7,520.5,1302.1,629.7,4081.0,3522.6,1729.2,3561.5,1765.5,456.9,286.8,90.3,316.8,104.3,36,36,25,30,5648,797,1213
BULK,14642.1,5692.1,2307.3,7251.2,2733.2,4924.6,2019.8,6372.5,2425.9,6647.1,5375.0,1829.0,5640.0,1843.3,13044.1,8493.7,3736.6,9585.7,3959.9,1519,1458,862,1058,5551,2855,3620
CAMB,3681.9,194.1,81.0,310.7,85.6,196.1,102.3,275.1,106.8,13401.3,232.9,149.7,1033.5,149.7,834.9,228.6,91.4,325.1,91.4,,,,,1265,142,268
CARR,6206.5,547.0,427.0,1497.3,1042.5,522.1,413.2,1146.5,736.4,8797.0,1653.9,1597.4,8157.6,7605.3,1894.7,583.5,525.0,1289.8,1144.3,,,,,1300,126,329
CHES,3380.3,948.0,455.8,2887.9,914.8,686.4,349.7,2080.0,603.2,11904.2,2241.0,1345.5,11628.5,6852.5,5881.2,2265.2,1057.4,5070.7,1535.6,13,7,11,13,1170,281,1038
CHIL,2862.4,2215.3,265.7,2460.6,283.8,1503.2,166.4,1705.8,181.0,5784.7,5263.2,42.6,5279.5,42.8,9129.9,7048.9,1054.2,7503.5,1119.8,21,0,17,19,1358,1053,1191
CHIR,6762.6,1943.7,1429.1,2492.4,1654.2,805.9,428.1,1288.3,636.1,24084.4,21499.6,19000.3,21783.0,19008.0,3701.8,1621.2,654.9,1969.1,716.4,,,,,616,258,396
