watershed_group_code,length_km_total,length_km_accessible15,length_km_accessible15_structureless,length_km_accessible20,length_km_accessible20_structureless,length_km_accessible30,length_km_accessible30_structureless,stream_km_accessible15,stream_km_accessible15_structureless,stream_km_accessible20,stream_km_accessible20_structureless,stream_km_accessible30,stream_km_accessible30_structureless,lake_reservoir_area_ha_total,lake_reservoir_area_ha_accessible15,lake_reservoir_area_ha_accessible15_structureless,lake_reservoir_area_ha_accessible20,lake_reservoir_area_ha_accessible20_structureless,lake_reservoir_area_ha_accessible30,lake_reservoir_area_ha_accessible30_structureless,wetland_area_ha_total,wetland_area_ha_accessible15,wetland_area_ha_accessible15_structureless,wetland_area_ha_accessible20,wetland_area_ha_accessible20_structureless,wetland_area_ha_accessible30,wetland_area_ha_accessible30_structureless,n_pscis_all,n_pscis_gt2010,n_pscis_gt2010_accessible_15,n_pscis_gt2010_accessible_20,n_pscis_gt2010_accessible_30,n_modelled_culverts_total,n_modelled_culverts_accessible15,n_modelled_culverts_accessible20,n_modelled_culverts_accessible30
ADMS,5475.8,654.5,539.6,983.2,650.8,1522.3,726.9,388.1,281.9,659.0,366.1,1152.7,439.7,15888.2,14009.9,13978.7,14317.5,14113.4,14506.5,14113.4,2925.5,951.9,898.7,1207.9,959.2,1504.6,977.1,42,9,8,10,28,3234,188,453,1007
ALBN,7529.8,1799.7,1216.1,2251.1,1433.3,3083.8,1731.7,1408.2,880.6,1822.6,1071.8,2613.7,1348.4,17253.5,13627.3,13063.0,14391.9,13717.1,14906.9,13983.3,1188.0,576.9,352.8,607.5,372.0,701.5,429.7,248,116,128,160,206,6138,943,1329,2282
ATLL,12087.3,4546.1,9.4,5901.0,9.6,7191.5,10.5,2203.0,141.2,3298.0,141.2,4525.4,142.0,68348.6,62992.0,11.4,67333.7,11.9,67655.7,12.1,8288.8,5720.0,23.5,6944.9,23.5,7329.1,23.5,0,0,0,0,0,828,389,595,701
ATNA,5636.2,939.0,815.6,1160.8,978.1,1529.3,1239.9,554.9,457.9,754.1,607.5,1094.0,847.7,13750.3,9328.9,9164.6,9380.7,9185.3,9514.1,9300.6,3475.5,718.7,545.5,828.8,601.8,958.8,647.8,0,0,0,0,0,579,92,121,177
BABL,11547.8,6035.0,2125.1,8618.9,2582.2,10415.8,3112.0,4230.0,1057.8,6320.5,1469.8,7903.7,1918.1,62840.9,54597.6,49814.6,59536.5,49966.4,62094.2,51667.5,18675.1,10306.9,3032.6,14838.7,3596.6,16047.8,3872.9,48,3,33,37,48,4379,2217,3363,4088
BABR,8921.1,2397.3,1983.8,3531.7,2835.3,5030.1,3980.7,1966.9,1630.6,2936.0,2347.8,4254.4,3345.7,2700.1,871.8,815.3,1543.4,1408.4,2143.8,1963.2,10789.8,5690.2,4606.0,6993.4,5563.7,8153.9,6400.7,41,1,23,36,41,1020,378,542,718
BARR,7140.5,829.7,829.7,948.8,948.8,1414.9,1414.9,764.8,764.8,871.5,871.5,1288.5,1288.5,2920.0,2453.0,2453.0,2466.2,2466.2,2631.8,2631.8,1833.3,1208.1,1208.1,1239.8,1239.8,1410.6,1410.6,0,0,0,0,0,0,0,0,0
BBAR,7877.8,255.7,181.4,494.6,237.0,1586.5,433.8,266.4,199.9,479.6,250.1,1485.8,435.1,2820.6,79.0,0.0,175.2,0.6,663.9,20.3,2635.4,17.6,0,162.8,0,663.5,12.0,0,0,0,0,0,4677,89,308,1037
BELA,6068.6,399.8,355.1,466.1,409.3,699.6,519.8,441.3,397.0,502.1,445.7,718.4,546.5,1755.1,9.4,8.4,20.5,19.5,28.0,24.7,365.4,1.8,0,11.5,9.7,56.6,10.7,20,0,8,14,18,706,133,192,312
BIGC,2913.3,11.4,11.4,11.7,11.7,2386.2,618.0,130.1,130.1,130.4,130.4,1757.8,505.1,2073.7,0,0,0,0,1437.6,331.8,10676.6,0,0,0,0,8205.1,2108.1,2,2,0,0,2,667,0,0,585
BLAR,5469.1,3433.6,1490.1,4450.4,1774.2,4964.3,1952.9,2612.3,1063.0,3455.1,1252.8,3883.4,1384.5,3965.6,2233.5,1309.5,3111.2,2075.1,3324.4,2110.2,15818.5,8988.4,4631.9,11673.5,6550.0,13012.7,7297.1,10,0,9,10,10,2499,1158,1846,2193
BONP,7575.4,1747.4,442.0,3055.0,500.1,4531.1,552.7,1337.3,281.8,2407.2,332.3,3797.0,383.8,10807.0,6592.3,3877.2,8693.6,3909.5,8979.8,3910.7,5652.8,1740.2,625.8,2854.6,647.5,3471.9,651.8,2,0,2,2,2,5809,1261,2465,3765
BOWR,6268.3,2699.6,1326.0,3435.6,1517.0,4362.3,1795.7,2204.0,1042.3,2881.7,1221.7,3771.0,1487.9,5058.2,4401.1,3870.0,4528.1,3952.4,4713.0,4012.6,8744.1,6809.0,4054.7,7418.2,4114.8,7965.4,4194.0,136,115,93,126,130,3205,1244,1852,2511
