watershed_group_code,ch_n,ch_latest,co_n,co_latest,sk_n,sk_latest,st_n,st_latest,ch_range,co_range,sk_range,st_range,obs_gt5_ind,mackenzie_ind,barrier_ind,manual_review_ind,remarks_br,consider_wsg
ADMS,8,2007-01-01,41,2014-09-27,33,2005-01-01,0,,{Core},{Core},{Core},{Core},t,,,,,t
ALBN,119,2018-04-29,410,2019-02-22,14,2011-07-23,273,2018-05-02,{Core},{Core},{Core},{Core},t,,,,,t
ATLL,0,,0,,0,,0,,{Core},,,,,,,,,f
ATNA,9,2010-10-08,14,2010-10-20,5,2001-01-01,27,2000-01-01,{Core},{Core},{Core},{Core},t,,,,,t
BABL,5,2015-09-11,111,2010-10-19,61,2014-08-24,0,,{Core},{Core},{Core},{Core},t,,Falls 17582,,,f
BABR,7,2001-08-20,30,2002-09-21,5,1998-06-01,15,2002-09-21,{Core},{Core},{Core},{Core},t,,,,,t
BARR,4,1999-03-01,4,1995-01-01,5,1999-03-01,0,,{Core},{Core},{Core},{Core},,,,,,f
BBAR,2,1994-01-01,2,1994-01-01,0,,3,1994-01-01,{Core},{Core},{Core},{Core},,,,,,f
BEAV,0,,0,,0,,0,,,,,,,t,,,,f
BELA,32,2013-09-20,116,2013-09-20,5,1999-02-01,71,2013-09-20,{Core},{Core},{Core},{Core},t,,,,,t
BIGC,0,,0,,0,,0,,{Core},{Core},{Core},{Core},,,,,,f
BLAR,43,9999-11-01,3,1995-01-01,1,1994-01-01,0,,{Core},{Core},{Core},{Core},t,,,,,t
BLUR,0,,0,,0,,0,,,,,,,t,,,,f
BONP,23,2000-02-01,12,2004-01-01,1,1998-01-01,20,1998-01-01,{Core},{Core},{Core},{Core},t,,,,,t
BOWR,34,2015-09-18,1,2004-01-01,7,2001-01-01,0,,{Core},{Core},{Core},{Core},t,,,,,t
BRID,0,,0,,0,,0,,{Core},{Core},{Core},{Core},,,Falls 20807,,,f
BRKS,24,1999-10-03,176,2016-07-23,21,1998-11-01,65,2000-01-01,{Core},{Core},{Core},{Core},t,,,,,t
BULK,115,2018-08-01,263,2018-08-02,10,2002-01-01,196,2017-08-20,{Core},{Core},{Core},{Core},t,,,,,t
BULL,0,,0,,0,,0,,,,,,,,Chief Joseph Dam,,,f
CAMB,116,2019-03-25,244,2018-09-13,12,2016-04-11,135,2017-01-25,{Core},{Core},{Core},{Core},t,,,,,t
CANO,0,,0,,0,,0,,,,,,,,Chief Joseph Dam,,,f
CARP,0,,0,,0,,0,,,,,,,t,Site C Dam,,,f
CARR,24,2010-10-29,2,1999-02-01,3,1999-02-01,0,,{Core},{Core},{Core},{Core},t,,,,,t
CHES,298,2017-10-21,1,1994-01-01,30,2010-06-15,0,,{Core},{Core},{Core},{Core},t,,,,,t
CHIL,2,2000-09-08,0,,0,,0,,{Core},{Core},{Core},{Core},,,,,,f
CHIR,1,1993-01-01,0,,21,2001-01-01,4,1998-03-01,{Core},{Core},{Core},{Core},,,,,,f
CHUK,0,,0,,0,,0,,,,,,,,,,,f
CHWK,22,2016-08-19,316,2019-04-16,24,2006-05-30,173,2019-05-08,{Core},{Core},{Core},{Core},t,,,,,t
CLAY,42,2002-02-01,267,2018-11-18,52,2002-01-01,84,2002-02-01,{Core},{Core},{Core},{Core},t,,,,,t
CLRH,0,,0,,0,,0,,,,,,,,Chief Joseph Dam,,,f
CLWR,6,1996-09-01,5,1999-01-01,0,,0,,{Core},{Core},{Core},{Core},t,,,,,t
COAL,0,,0,,0,,0,,,,,,,t,,,,f
COLR,0,,0,,0,,0,,,,,,,,Chief Joseph Dam,,,f
COMX,691,9999-03-01,853,9999-03-01,76,2019-03-02,189,9999-03-01,{Core},{Core},{Core},{Core},t,,,,,t
COTR,114,2015-09-11,5,2014-09-16,1,1996-06-01,0,,{Core},{Core},{Core},{Core},t,,,,,t
COWN,28,9999-03-01,219,9999-03-01,0,,232,9999-03-01,{Core},{Core},{Core},{Core},t,,,,,t
CRKD,0,,0,,0,,0,,,,,,,t,Site C Dam,,,f
CRYL,0,,0,,0,,0,,,,,,,t,,,,f
DEAD,9,2007-08-10,9,2014-08-14,3,1998-01-01,6,1999-02-01,{Core},{Core},{Core},{Core},t,,,,,t
DEAL,0,,0,,0,,0,,,,,,,t,,,,f
DEAR,0,,0,,0,,0,,,,,,,t,,,,f
DOGC,4,1997-01-01,0,,3,1997-01-01,0,,{Core},{Core},{Core},{Core},,,,t,"Fish appear to be able to access lower 11 km of river up to Williams Lake: Sockeye, coho, (pink) noted in Williams Lake River in 1997 watershed planning profiles. All fish passage to upper watershed blocked by outlet dam on Williams Lake.",t
DRIR,0,,0,,9,1995-01-01,0,,{Core},{Core},{Core},{Core},,,,,,f
DUNC,0,,0,,0,,0,,,,,,,,Chief Joseph Dam,,,f
DUNE,0,,0,,0,,0,,,,,,,t,,,,f
ELKR,0,,0,,0,,0,,,,,,,,Chief Joseph Dam,,,f
EUCH,7,1998-02-01,0,,0,,0,,{Core},{Core},{Core},{Core},t,,,,,t
EUCL,0,,0,,0,,0,,{Core},{Core},{Core},{Core},,,,t,"Chinook captured in Euchiniko Lake in 1985 (Dollighan, 1985) were believed to be resident, based on a 10 m waterfall 4 km upstream from the mouth of Westroad River. However, Chinook from the Westroad stock were captured in the Albion test fishery (lower Fraser River) in 2000 and 2001. Anecdotal notes from flyfishermen also state that chinook migrate from the ocean into the Westroad system. ",t
FINA,0,,0,,0,,0,,,,,,,t,Site C Dam,,,f
FINL,0,,0,,0,,0,,,,,,,t,Site C Dam,,,f
FIRE,0,,0,,0,,0,,,,,,,t,Site C Dam,,,f
FONT,0,,0,,0,,0,,,,,,,t,,,,f
FOXR,0,,0,,0,,0,,,,,,,t,Site C Dam,,,f
FRAN,19,2000-09-09,1,2018-07-26,9,2001-01-01,0,,{Core},{Core},{Core},{Core},t,,,,,t
FRCN,29,2018-06-15,60,2012-10-03,29,2010-08-13,126,2017-08-26,{Core},{Core},{Core},{Core},t,,,,,t
FROG,0,,0,,0,,0,,,,,,,t,,,,f
GATA,0,,0,,0,,0,,,,,,,t,,,,f
GLAR,7,9999-10-01,0,,0,,0,,{Core},,,,t,,,,,t
GOLD,29,2012-04-20,89,2013-09-10,18,2001-02-01,107,2014-08-13,{Core},{Core},{Core},{Core},t,,,,,t
GRAI,6,1999-02-01,221,2013-10-02,28,2006-04-24,80,2000-02-01,{Core},{Core},{Core},{Core},t,,,,,t
GRNL,0,,0,,0,,0,,{Core},{Core},{Core},{Core},,,Falls 24718,,,f
GUIC,8,2012-08-15,4,2004-01-01,0,,5,1998-02-01,{Core},{Core},{Core},{Core},t,,,,,t
HARR,342,2016-08-11,317,2018-12-13,66,2016-08-10,214,2019-05-15,{Core},{Core},{Core},{Core},t,,,,,t
HAYR,0,,0,,0,,0,,,,,,,t,,,,f
HERR,8,1999-09-05,0,,0,,0,,{Core},{Core},{Core},{Core},t,,,,,t
HOLB,3,1993-01-01,137,2017-04-13,0,,29,2003-10-28,{Core},{Core},{Core},{Core},t,,,,,t
HOMA,35,2001-03-01,67,2017-10-13,1,1996-04-01,3,2001-03-01,{Core},{Core},{Core},{Core},t,,,,,t
HORS,49,2017-10-19,83,2017-10-19,23,2002-01-01,2,2002-01-01,{Core},{Core},{Core},{Core},t,,,,,t
INGR,0,,0,,0,,0,,,,,,,t,Site C Dam,,,f
INKR,48,2015-06-15,50,2018-09-13,25,2008-09-20,35,2000-01-01,{Core},{Core},{Core},{Core},t,,,,,t
